2025-03-06 14:25:18 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2025-03-06 14:25:18 [main] INFO  com.zero.admin.AdminApplication - Starting AdminApplication using Java 21.0.6 with PID 52864 (/Users/w9048055/Documents/gitee/vue-zero-admin-api/zero-admin/target/classes started by w9048055 in /Users/w9048055/Documents/gitee/vue-zero-admin-api)
2025-03-06 14:25:18 [main] INFO  com.zero.admin.AdminApplication - The following 1 profile is active: "dev"
2025-03-06 14:25:23 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2025-03-06 14:25:23 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2025-03-06 14:25:23 [main] INFO  com.zaxxer.hikari.HikariDataSource - postgres - Starting...
2025-03-06 14:25:24 [main] INFO  com.zaxxer.hikari.pool.HikariPool - postgres - Added connection org.postgresql.jdbc.PgConnection@7de2bdc7
2025-03-06 14:25:24 [main] INFO  com.zaxxer.hikari.HikariDataSource - postgres - Start completed.
2025-03-06 14:25:24 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [postgres] success
2025-03-06 14:25:24 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [1] datasource,primary datasource named [postgres]
2025-03-06 14:25:26 [main] INFO  c.z.a.base.redis.config.RedisConfig - 初始化 redis 配置
2025-03-06 14:25:26 [main] INFO  org.redisson.Version - Redisson 3.45.0
2025-03-06 14:25:26 [main] WARN  i.n.r.d.DnsServerAddressStreamProviders - Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos'
2025-03-06 14:25:26 [redisson-netty-1-2] INFO  o.r.connection.ConnectionsHolder - 1 connections initialized for localhost/127.0.0.1:6379
2025-03-06 14:25:26 [redisson-netty-1-1] INFO  o.r.connection.ConnectionsHolder - 2 connections initialized for localhost/127.0.0.1:6379
2025-03-06 14:25:27 [main] INFO  io.undertow - starting server: Undertow - 2.3.18.Final
2025-03-06 14:25:27 [main] INFO  org.xnio - XNIO version 3.8.16.Final
2025-03-06 14:25:27 [main] INFO  org.xnio.nio - XNIO NIO Implementation Version 3.8.16.Final
2025-03-06 14:25:27 [main] INFO  org.jboss.threads - JBoss Threads version 3.5.0.Final
2025-03-06 14:25:27 [main] INFO  com.zero.admin.AdminApplication - Started AdminApplication in 9.047 seconds (process running for 11.676)
2025-03-06 14:25:27 [main] INFO  c.z.a.b.s.listener.SseTopicListener - 初始化SSE主题订阅监听器成功
2025-03-06 14:25:29 [XNIO-1 task-3] INFO  io.undertow.servlet - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-03-06 14:25:29 [XNIO-1 task-3] INFO  c.z.a.b.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /auth/tenant/list],无参数
2025-03-06 14:25:29 [XNIO-1 task-2] INFO  c.z.a.b.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /auth/captcha],无参数
2025-03-06 14:25:29 [XNIO-1 task-2] INFO  c.z.a.b.r.aspectj.RateLimiterAspect - 限制令牌 => 10, 剩余令牌 => 9, 缓存key => 'global:rate_limit:/auth/captcha:0:0:0:0:0:0:0:1:'
2025-03-06 14:25:30 [XNIO-1 task-3] INFO  c.z.a.b.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /auth/tenant/list],耗时:[629]毫秒
2025-03-06 14:25:32 [XNIO-1 task-2] INFO  c.z.a.b.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /auth/captcha],耗时:[2508]毫秒
2025-03-06 14:43:52 [postgres housekeeper] WARN  com.zaxxer.hikari.pool.PoolBase - postgres - Failed to validate connection org.postgresql.jdbc.PgConnection@7de2bdc7 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2025-03-06 14:45:36 [postgres housekeeper] WARN  com.zaxxer.hikari.pool.PoolBase - postgres - Failed to validate connection org.postgresql.jdbc.PgConnection@24e6eeb5 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2025-03-06 14:46:10 [XNIO-1 task-3] INFO  c.z.a.b.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /auth/captcha],无参数
2025-03-06 14:46:10 [XNIO-1 task-2] INFO  c.z.a.b.w.i.PlusWebInvokeTimeInterceptor - [PLUS]开始请求 => URL[GET /auth/tenant/list],无参数
2025-03-06 14:46:10 [XNIO-1 task-3] INFO  c.z.a.b.r.aspectj.RateLimiterAspect - 限制令牌 => 10, 剩余令牌 => 9, 缓存key => 'global:rate_limit:/auth/captcha:0:0:0:0:0:0:0:1:'
2025-03-06 14:46:10 [XNIO-1 task-3] INFO  c.z.a.b.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /auth/captcha],耗时:[185]毫秒
2025-03-06 14:46:11 [XNIO-1 task-2] INFO  c.z.a.b.w.i.PlusWebInvokeTimeInterceptor - [PLUS]结束请求 => URL[GET /auth/tenant/list],耗时:[347]毫秒
2025-03-06 19:00:11 [postgres housekeeper] WARN  com.zaxxer.hikari.pool.PoolBase - postgres - Failed to validate connection org.postgresql.jdbc.PgConnection@763d66f4 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
2025-03-06 19:07:02 [SpringApplicationShutdownHook] INFO  io.undertow - stopping server: Undertow - 2.3.18.Final
